                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95394,                 1.4038,                0.83796,                0.40445,                0.25532,                0.25754,                0.19903,                0.96586,                 1.5789,                0.84422,              0.0033304,              0.0033304,              0.0033304
                      2,                0.99688,                 1.5078,                0.84533,                0.44485,                0.23019,                0.24792,                0.19107,                0.98984,                 1.6543,                0.84968,              0.0066308,              0.0066308,              0.0066308
                      3,                 1.0626,                 1.7015,                0.85859,                0.45991,                0.19327,                0.19224,                0.14517,                 1.0785,                 1.9212,                0.86867,              0.0098981,              0.0098981,              0.0098981
                      4,                 1.1581,                 1.9599,                0.87559,                0.48344,                0.17886,                0.19227,                0.14358,                 1.0913,                 1.9597,                0.87329,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.161,                 1.9719,                0.87661,                0.45241,                0.18494,                0.18344,                0.13874,                 1.0869,                 1.9727,                0.87238,              0.0098515,              0.0098515,              0.0098515
                      6,                 1.1532,                  1.953,                0.87693,                  0.409,                0.20186,                0.20143,                0.15281,                 1.0712,                 1.8603,                0.86604,               0.009802,               0.009802,               0.009802
                      7,                  1.152,                 1.9446,                0.87557,                0.45493,                0.19023,                0.20444,                0.15654,                 1.0688,                 1.8618,                0.86606,              0.0097525,              0.0097525,              0.0097525
                      8,                 1.1452,                 1.9403,                0.87389,                0.42513,                 0.2052,                0.20624,                0.15734,                 1.0551,                 1.8222,                0.86346,               0.009703,               0.009703,               0.009703
                      9,                 1.1467,                 1.9185,                0.87508,                0.41346,                0.20417,                0.21311,                0.16433,                 1.0338,                 1.7728,                0.86129,              0.0096535,              0.0096535,              0.0096535
                     10,                 1.1388,                 1.9084,                0.87559,                0.45925,                0.20856,                0.22054,                0.16956,                 1.0282,                 1.7252,                0.85881,               0.009604,               0.009604,               0.009604
                     11,                 1.1413,                 1.9087,                0.87392,                0.44964,                0.20517,                0.22535,                 0.1735,                 1.0196,                   1.71,                0.86031,              0.0095545,              0.0095545,              0.0095545
                     12,                 1.1306,                 1.8841,                0.87087,                0.45172,                0.21071,                0.22393,                0.17354,                  1.014,                 1.6749,                0.86005,               0.009505,               0.009505,               0.009505
                     13,                 1.1315,                  1.879,                0.87517,                0.46351,                0.21943,                0.22609,                0.17416,                 1.0118,                 1.6655,                0.85708,              0.0094555,              0.0094555,              0.0094555
                     14,                 1.1218,                 1.8793,                0.87044,                0.40958,                0.22321,                 0.2285,                0.17756,                0.99782,                 1.6456,                0.85519,               0.009406,               0.009406,               0.009406
                     15,                 1.1206,                 1.8579,                 0.8723,                0.44111,                0.22166,                0.23036,                 0.1785,                0.98444,                 1.6163,                0.85369,              0.0093565,              0.0093565,              0.0093565
                     16,                 1.1241,                 1.8577,                0.87147,                0.44626,                0.22886,                0.23535,                0.18205,                 0.9846,                 1.6053,                0.85308,               0.009307,               0.009307,               0.009307
                     17,                 1.1179,                 1.8427,                0.87048,                0.44962,                 0.2342,                0.23833,                0.18458,                0.97684,                 1.5922,                 0.8509,              0.0092575,              0.0092575,              0.0092575
                     18,                 1.1169,                 1.8411,                0.86913,                0.42536,                0.24831,                0.24293,                0.18791,                0.97419,                 1.5869,                0.85167,               0.009208,               0.009208,               0.009208
                     19,                 1.1173,                 1.8389,                0.86954,                0.45243,                0.23273,                0.24235,                0.18823,                0.96964,                 1.5751,                0.85122,              0.0091585,              0.0091585,              0.0091585
                     20,                 1.1069,                 1.8115,                0.86868,                 0.4613,                0.23191,                0.24835,                0.19321,                0.96304,                 1.5572,                0.85115,               0.009109,               0.009109,               0.009109
                     21,                  1.108,                 1.8247,                0.86733,                 0.4371,                0.24343,                0.25059,                0.19521,                0.96125,                 1.5438,                 0.8501,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.1086,                 1.8287,                 0.8666,                0.45075,                0.24478,                0.25328,                0.19687,                0.95903,                 1.5375,                0.85011,                0.00901,                0.00901,                0.00901
                     23,                 1.1088,                 1.8193,                0.86748,                0.44873,                0.24407,                0.25413,                0.19875,                 0.9566,                 1.5269,                0.84954,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.1124,                 1.8097,                 0.8686,                0.47063,                0.24032,                0.25661,                0.20036,                0.95485,                 1.5205,                0.84944,               0.008911,               0.008911,               0.008911
                     25,                 1.1095,                  1.812,                0.86843,                0.44968,                0.24343,                0.25816,                 0.2015,                0.95192,                 1.5143,                0.84858,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.1117,                 1.8089,                0.86808,                0.46616,                0.24031,                 0.2583,                0.20185,                0.94927,                   1.51,                0.84786,               0.008812,               0.008812,               0.008812
                     27,                  1.094,                 1.7819,                0.86708,                0.47686,                0.24281,                 0.2593,                0.20248,                0.94745,                 1.5052,                 0.8471,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.0963,                 1.7801,                0.86648,                0.45329,                0.24807,                0.25951,                0.20246,                0.94631,                 1.5026,                0.84733,               0.008713,               0.008713,               0.008713
                     29,                 1.0995,                  1.788,                0.86553,                0.47636,                0.24237,                0.25959,                 0.2026,                0.94521,                 1.4983,                0.84738,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.0971,                 1.7793,                0.86397,                0.47722,                0.24018,                0.25988,                 0.2035,                0.94409,                 1.4955,                0.84715,               0.008614,               0.008614,               0.008614
                     31,                 1.1002,                 1.7792,                0.86398,                0.48862,                0.23748,                0.26107,                0.20409,                0.94349,                 1.4929,                0.84708,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.0976,                 1.7759,                0.86596,                0.48731,                0.23822,                0.26229,                0.20502,                0.94333,                 1.4911,                0.84726,               0.008515,               0.008515,               0.008515
                     33,                 1.0916,                 1.7623,                0.86416,                0.45768,                0.24731,                0.26337,                0.20581,                0.94229,                 1.4904,                0.84705,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.0924,                 1.7641,                0.86413,                0.45995,                0.24596,                0.26332,                0.20582,                0.94148,                  1.489,                0.84715,               0.008416,               0.008416,               0.008416
                     35,                 1.0921,                 1.7633,                0.86366,                0.45456,                0.24692,                0.26377,                0.20626,                0.94034,                 1.4878,                  0.847,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.0943,                  1.758,                0.86455,                0.45396,                 0.2493,                0.26418,                0.20668,                0.94005,                 1.4866,                0.84698,               0.008317,               0.008317,               0.008317
                     37,                 1.0866,                  1.752,                0.86396,                0.44249,                0.25371,                0.26422,                0.20656,                0.93906,                 1.4849,                0.84661,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.0869,                 1.7411,                0.86337,                0.43924,                 0.2538,                0.26478,                0.20687,                0.93835,                 1.4836,                0.84643,               0.008218,               0.008218,               0.008218
                     39,                 1.0895,                 1.7464,                0.86414,                0.43436,                0.25582,                0.26495,                0.20726,                0.93743,                 1.4822,                 0.8462,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.0811,                 1.7391,                0.86074,                0.43948,                0.25371,                0.26592,                0.20799,                 0.9368,                  1.481,                0.84619,               0.008119,               0.008119,               0.008119
                     41,                 1.0853,                 1.7353,                0.86502,                  0.444,                0.25436,                0.26695,                0.20839,                0.93576,                 1.4795,                0.84609,              0.0080695,              0.0080695,              0.0080695
                     42,                 1.0849,                 1.7429,                0.86313,                0.44066,                0.25875,                0.26716,                 0.2087,                0.93538,                 1.4784,                0.84607,                0.00802,                0.00802,                0.00802
                     43,                 1.0783,                 1.7255,                0.86347,                0.43647,                0.26208,                0.26768,                0.20937,                0.93513,                 1.4774,                0.84588,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.0815,                 1.7242,                0.86309,                0.43086,                0.26531,                 0.2681,                0.20977,                0.93421,                 1.4767,                0.84567,               0.007921,               0.007921,               0.007921
                     45,                 1.0773,                 1.7234,                0.85942,                0.44094,                0.25953,                0.26843,                0.21028,                 0.9343,                 1.4757,                 0.8455,              0.0078715,              0.0078715,              0.0078715
                     46,                 1.0741,                 1.6995,                0.86164,                0.44857,                0.26051,                 0.2685,                0.21017,                0.93362,                 1.4744,                0.84532,               0.007822,               0.007822,               0.007822
                     47,                 1.0803,                 1.7108,                0.86199,                0.45603,                0.25659,                0.26936,                0.21066,                0.93282,                 1.4726,                 0.8452,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.0753,                 1.7166,                0.86111,                0.45731,                0.25291,                0.26912,                0.21038,                0.93261,                 1.4721,                0.84513,               0.007723,               0.007723,               0.007723
                     49,                 1.0794,                 1.7118,                0.86021,                0.45338,                0.25975,                0.27019,                0.21148,                0.93241,                 1.4716,                0.84494,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.0747,                 1.7013,                0.85963,                0.45783,                0.25722,                0.27037,                0.21151,                0.93252,                 1.4709,                0.84487,               0.007624,               0.007624,               0.007624
                     51,                 1.0756,                 1.7026,                0.86226,                0.45502,                 0.2582,                0.26979,                0.21132,                0.93155,                 1.4695,                0.84465,              0.0075745,              0.0075745,              0.0075745
                     52,                 1.0774,                 1.6989,                 0.8604,                0.45364,                0.26008,                0.26954,                0.21119,                0.93157,                 1.4689,                0.84463,               0.007525,               0.007525,               0.007525
                     53,                 1.0757,                 1.7084,                0.86111,                 0.4596,                0.25665,                0.26993,                0.21151,                0.93172,                 1.4683,                0.84454,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.0696,                 1.6836,                0.86008,                0.45548,                0.25931,                 0.2709,                0.21212,                0.93151,                 1.4668,                0.84457,               0.007426,               0.007426,               0.007426
                     55,                 1.0684,                 1.6954,                0.86138,                0.45697,                0.25788,                0.27091,                0.21229,                0.93108,                 1.4654,                0.84449,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.0674,                 1.6784,                0.86068,                0.46236,                0.25772,                0.27182,                0.21285,                0.93108,                 1.4642,                 0.8445,               0.007327,               0.007327,               0.007327
                     57,                 1.0681,                 1.6835,                0.86027,                0.46135,                0.25817,                0.27237,                0.21319,                0.93051,                 1.4627,                0.84443,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.0657,                 1.6706,                 0.8608,                 0.4628,                0.25639,                0.27289,                0.21346,                0.93039,                  1.462,                0.84435,               0.007228,               0.007228,               0.007228
                     59,                  1.063,                 1.6744,                0.86014,                0.46655,                0.25466,                0.27309,                0.21363,                0.92946,                 1.4606,                0.84423,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.0612,                 1.6611,                0.85783,                0.46418,                0.25891,                0.27356,                0.21424,                0.92899,                 1.4589,                0.84412,               0.007129,               0.007129,               0.007129
                     61,                 1.0573,                 1.6666,                0.86013,                0.46265,                0.25992,                0.27398,                0.21453,                0.92902,                  1.457,                0.84398,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.0667,                  1.676,                0.85985,                0.45762,                0.26227,                0.27443,                0.21444,                0.92816,                 1.4559,                0.84395,                0.00703,                0.00703,                0.00703
                     63,                 1.0562,                 1.6549,                0.85742,                0.45614,                0.26201,                0.27543,                0.21503,                0.92853,                 1.4541,                0.84399,              0.0069805,              0.0069805,              0.0069805
                     64,                 1.0618,                 1.6658,                0.85819,                0.45415,                0.26186,                 0.2755,                0.21518,                 0.9279,                 1.4526,                0.84387,               0.006931,               0.006931,               0.006931
                     65,                  1.063,                 1.6567,                0.85954,                0.45774,                0.26178,                 0.2759,                0.21564,                0.92748,                 1.4517,                0.84383,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.0586,                 1.6622,                0.85647,                0.45447,                0.26289,                0.27639,                0.21604,                 0.9278,                 1.4509,                 0.8438,               0.006832,               0.006832,               0.006832
                     67,                  1.055,                 1.6465,                0.85836,                0.45228,                0.26274,                0.27648,                  0.216,                0.92766,                 1.4513,                0.84368,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.0633,                 1.6546,                0.85924,                0.45033,                 0.2633,                0.27689,                0.21641,                 0.9267,                 1.4508,                0.84351,               0.006733,               0.006733,               0.006733
                     69,                 1.0524,                 1.6336,                0.85625,                 0.4496,                 0.2636,                0.27646,                0.21587,                0.92699,                 1.4484,                 0.8436,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.0504,                 1.6288,                0.85754,                0.45663,                0.26279,                0.27656,                0.21614,                0.92657,                 1.4475,                0.84348,               0.006634,               0.006634,               0.006634
                     71,                 1.0552,                 1.6342,                0.85898,                0.46306,                0.26244,                0.27744,                0.21719,                0.92631,                 1.4469,                0.84337,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.0511,                  1.633,                0.85873,                0.46726,                0.26074,                0.27786,                0.21719,                  0.926,                 1.4458,                0.84337,               0.006535,               0.006535,               0.006535
                     73,                 1.0508,                 1.6389,                0.85644,                0.47224,                0.25846,                0.27792,                0.21696,                0.92563,                 1.4445,                0.84344,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.0502,                 1.6276,                0.85725,                 0.4838,                 0.2568,                0.27802,                0.21689,                 0.9252,                 1.4435,                 0.8433,               0.006436,               0.006436,               0.006436
                     75,                 1.0463,                 1.6217,                0.85469,                0.49257,                0.25555,                0.27865,                0.21743,                0.92466,                 1.4408,                0.84325,              0.0063865,              0.0063865,              0.0063865
                     76,                 1.0491,                 1.6243,                0.85432,                0.48584,                0.25812,                0.27954,                0.21772,                0.92457,                 1.4394,                0.84326,               0.006337,               0.006337,               0.006337
                     77,                 1.0562,                 1.6355,                0.85612,                0.48087,                0.25932,                0.28043,                0.21833,                0.92437,                 1.4382,                0.84324,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.0433,                 1.6144,                0.85556,                  0.457,                0.26533,                0.28079,                0.21856,                0.92476,                 1.4363,                0.84318,               0.006238,               0.006238,               0.006238
                     79,                 1.0454,                 1.6221,                  0.856,                0.45306,                0.26542,                0.28135,                0.21922,                0.92417,                 1.4362,                0.84313,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.0408,                 1.6008,                0.85785,                0.44967,                0.26919,                0.28165,                0.21935,                0.92339,                 1.4353,                0.84295,               0.006139,               0.006139,               0.006139
                     81,                 1.0489,                 1.6163,                0.85626,                0.45149,                0.26988,                0.28231,                0.21997,                0.92286,                 1.4349,                0.84302,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.0385,                 1.5981,                0.85378,                0.46829,                0.26497,                0.28168,                0.21958,                0.92271,                 1.4337,                0.84287,                0.00604,                0.00604,                0.00604
                     83,                 1.0386,                 1.5873,                0.85405,                0.47372,                0.26538,                0.28222,                0.22007,                0.92205,                 1.4331,                0.84289,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.0378,                  1.595,                0.85585,                 0.4805,                0.26364,                 0.2851,                0.22221,                 0.9215,                 1.4319,                0.84279,               0.005941,               0.005941,               0.005941
                     85,                 1.0434,                 1.5939,                 0.8567,                0.47773,                0.26509,                0.28558,                0.22263,                0.92139,                 1.4311,                0.84269,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.0409,                 1.6003,                0.85426,                0.47329,                0.26541,                0.28551,                0.22253,                0.92097,                 1.4293,                0.84266,               0.005842,               0.005842,               0.005842
                     87,                 1.0354,                 1.5928,                0.85419,                0.45849,                0.26983,                0.28554,                0.22284,                0.92047,                 1.4281,                0.84265,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.0376,                 1.5825,                0.85482,                0.46608,                0.26851,                0.28596,                0.22329,                0.92011,                 1.4263,                0.84257,               0.005743,               0.005743,               0.005743
                     89,                 1.0356,                 1.5801,                0.85401,                0.47311,                0.26971,                0.28617,                0.22289,                0.92013,                 1.4258,                0.84256,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.0364,                 1.5919,                 0.8548,                0.47577,                0.27012,                0.28672,                0.22345,                0.91997,                 1.4242,                 0.8426,               0.005644,               0.005644,               0.005644
                     91,                 1.0371,                 1.5848,                0.85485,                0.47837,                0.27024,                0.28656,                0.22306,                0.91953,                 1.4229,                0.84244,              0.0055945,              0.0055945,              0.0055945
                     92,                 1.0311,                 1.5763,                 0.8542,                0.47951,                0.27013,                0.28723,                0.22356,                0.91989,                 1.4214,                0.84243,               0.005545,               0.005545,               0.005545
                     93,                 1.0309,                 1.5828,                0.85157,                0.48322,                0.27036,                0.28748,                0.22374,                0.91999,                 1.4206,                0.84233,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.0303,                 1.5624,                0.85354,                0.47578,                0.27048,                0.28691,                0.22393,                0.91998,                 1.4201,                0.84217,               0.005446,               0.005446,               0.005446
                     95,                  1.035,                 1.5792,                0.85252,                0.47467,                0.27021,                0.28727,                0.22415,                0.91962,                 1.4197,                0.84207,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.0278,                 1.5617,                0.85206,                0.48053,                0.27003,                0.28687,                0.22391,                0.91932,                 1.4193,                0.84205,               0.005347,               0.005347,               0.005347
                     97,                 1.0284,                 1.5469,                0.85067,                0.48199,                0.27019,                0.28744,                0.22415,                0.91891,                 1.4175,                0.84192,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.0319,                 1.5524,                0.85081,                 0.4801,                0.27162,                0.28814,                0.22467,                0.91822,                 1.4165,                0.84192,               0.005248,               0.005248,               0.005248
                     99,                 1.0248,                 1.5454,                0.85146,                0.47669,                0.27224,                0.28807,                0.22456,                0.91807,                 1.4156,                0.84177,              0.0051985,              0.0051985,              0.0051985
